full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
tw93/Pake,https://github.com/tw93/Pake,Rust,48141,2022-10-14T09:32:57Z,3,3,160.08,1.9847222222222223,37.05722222222222,56,0.7065,45,0.0,1,1.0,1,0.78,1,10.791,-0.0629,52.42,0.35,53,0.0751,0.0,1973,98650,157840,986,10522.7,111.1,357.43,57189.3,16732.5,82.7
astral-sh/ruff,https://github.com/astral-sh/ruff,Rust,47241,2022-08-09T17:17:44Z,0,3,160.0,0.3375,12.372361111111111,452,0.2898,79,0.0,1,2.0,1,0.98,0,11.829,-2.1189,3.08,0.07,83,0.0358,0.0,13128,656400,1050240,6564,70016.0,152.6,2178.9,348624.8,104778.7,82.1
bevyengine/bevy,https://github.com/bevyengine/bevy,Rust,45744,2020-01-18T21:13:55Z,0,3,160.02,15.257361111111113,32.900277777777774,427,0.13,82,0.0,1,2.0,1,0.5,1,12.459,1.5944,20.33,0.2,0,0.0572,0.0,9693,484650,775440,4846,51696.0,6514.9,1584.57,253530.9,78508.6,88.7
helix-editor/helix,https://github.com/helix-editor/helix,Rust,44099,2020-06-01T04:26:56Z,1,3,160.03,6.1090277777777775,14.716944444444444,414,0.2321,84,0.0,1,1.0,1,0.72,0,10.95,-0.9161,58.67,0.25,0,0.2195,0.0,5665,283250,453200,2832,30213.3,2529.1,901.55,144247.9,44715.0,82.6
FuelLabs/fuels-rs,https://github.com/FuelLabs/fuels-rs,Rust,43243,2021-10-31T22:33:54Z,18,3,160.18,6.568888888888889,123.47,54,0.2408,97,0.0,1,2.0,1,0.76,0,9.846,0.0664,34.25,0.08,0,0.0815,0.0,897,44850,71760,448,4784.0,354.7,130.19,20829.6,6664.3,79.5
aaif-goose/goose,https://github.com/aaif-goose/goose,Rust,43203,2024-08-23T19:03:36Z,0,3,160.0,22.350555555555555,8.428888888888888,432,0.0614,95,0.0,1,1.0,1,0.36,0,11.488,-3.7203,3.36,0.02,0,0.5029,0.0,4156,207800,332480,2078,22165.3,9655.4,651.24,104197.9,34818.9,84.4
sharkdp/fd,https://github.com/sharkdp/fd,Rust,42700,2017-05-09T21:27:10Z,1,3,160.1,18.515416666666667,22.639305555555556,193,0.3715,82,0.0,1,1.5,1,0.58,1,12.312,0.2063,102.58,0.27,0,0.0709,0.0,1599,79950,127920,799,8528.0,3573.5,238.87,38220.0,12980.0,86.2
juspay/hyperswitch,https://github.com/juspay/hyperswitch,Rust,42536,2022-10-17T11:18:28Z,0,3,160.03,19.7375,14.288055555555555,243,0.0389,99,0.0,1,2.0,1,0.7,0,6.531,-0.9545,30.76,0.03,5,0.1723,0.0,6089,304450,487120,3044,32474.7,4796.2,972.53,155604.8,48797.2,84.6
nushell/nushell,https://github.com/nushell/nushell,Rust,39165,2019-05-10T16:59:42Z,0,3,160.02,0.2538888888888889,8.954444444444444,417,0.1592,36,0.0,1,1.0,1,0.84,1,13.154,0.5699,15.63,0.1,0,0.0278,0.0,9125,456250,730000,4562,48666.7,105.9,1487.22,237954.7,71956.1,88.4
lapce/lapce,https://github.com/lapce/lapce,Rust,38320,2018-02-06T08:41:06Z,10,3,160.0,10.546388888888888,119.20361111111112,169,0.5888,65,0.0,1,2.5,1,0.74,0,12.814,0.028,64.36,0.16,0,0.0132,0.0,3436,171800,274880,1718,18325.3,1782.3,533.32,85330.7,26763.5,78.3
pola-rs/polars,https://github.com/pola-rs/polars,Rust,38293,2020-05-13T19:45:33Z,0,3,160.01,1.3138888888888889,18.357916666666668,444,0.4444,79,0.0,1,1.0,1,0.88,0,12.541,-2.5315,9.27,0.1,0,0.3691,0.0,13537,676850,1082960,6768,72197.3,583.4,2250.24,360037.9,108281.2,80.6
spacedriveapp/spacedrive,https://github.com/spacedriveapp/spacedrive,Rust,37887,2021-09-27T05:09:04Z,6,3,160.0,6.933472222222222,22.481666666666666,113,0.4176,56,0.0,1,1.0,1,0.0,0,9.246,-0.6538,63.68,0.36,28,0.2333,0.0,4864,243200,389120,2432,25941.3,783.5,768.2,122911.6,37788.0,80.3
sxyazi/yazi,https://github.com/sxyazi/yazi,Rust,37033,2023-07-08T11:45:55Z,3,3,160.0,9.286944444444444,3.4469444444444446,164,0.7676,77,0.0,1,1.0,1,1.0,0,10.075,-0.1294,44.0,0.26,0,0.0576,0.0,1390,69500,111200,695,7413.3,1523.1,247.44,39591.0,12081.8,77.1
servo/servo,https://github.com/servo/servo,Rust,36543,2012-02-08T19:07:25Z,0,3,160.0,20.704861111111114,16.068055555555553,407,0.0846,78,0.0,1,1.0,1,0.74,1,14.671,1.6853,8.16,0.29,36,0.3757,0.0,35717,1785850,2857360,17858,190490.7,8426.9,6232.3,997168.3,297207.1,89.2
ajeetdsouza/zoxide,https://github.com/ajeetdsouza/zoxide,Rust,36057,2020-03-05T13:11:40Z,12,3,160.0,7.076944444444445,91.37472222222222,99,0.769,80,0.0,1,3.0,1,0.92,1,13.114,-0.2028,68.15,0.25,0,0.2021,0.0,554,27700,44320,277,2954.7,700.6,94.19,15070.1,4701.6,74.6
GyulyVGC/sniffnet,https://github.com/GyulyVGC/sniffnet,Rust,36012,2022-07-31T21:55:56Z,0,3,160.0,2.35,3.5883333333333334,65,0.8829,63,0.0,1,1.0,1,0.72,0,4.671,0.4825,68.86,0.25,0,0.0119,0.0,2554,127700,204320,1277,13621.3,152.8,468.7,74991.7,21854.8,76.2
