full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
microsoft/markitdown,https://github.com/microsoft/markitdown,Python,116410,2024-11-13T19:56:40Z,3,1,60.0,18.595277777777778,68.4686111111111,75,0.3367,65,0.0,1,2.0,1,0.02,0,11.07,-0.0035,31.43,0.12,0,0.0033,0.0,300,124489.1,9000.0,150,600.0,1394.6,380.28,60844.2,12887.2,70.9
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Python,114571,2025-07-22T22:22:28Z,0,1,60.01,13.282916666666669,2.537777777777778,376,0.6284,36,0.0,1,1.0,1,0.08,1,4.706,78.9266,1.58,0.0,15,0.1241,0.0,5441,5104786.3,163230.0,2720,10882.0,4994.4,18775.33,3004053.5,607750.0,83.7
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,Python,109914,2023-01-17T03:15:56Z,0,1,60.0,9.063611111111111,23.20694444444445,291,0.6173,69,0.0,1,1.0,1,1.0,1,4.035,-2.1678,3.78,0.17,10,0.0051,0.0,5046,2565880.7,151380.0,2523,10092.0,2637.5,9118.21,1458913.4,297619.9,83.8
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,Python,107310,2024-04-29T05:30:25Z,5,1,60.0,27.05361111111111,34.874583333333334,77,0.5209,71,0.0,1,0.0,1,0.0,0,6.553,-1.5664,0.0,0.32,0,0.3133,0.0,958,5974688.9,28740.0,479,1916.0,2083.1,22148.4,3543743.6,710331.7,78.7
pytorch/pytorch,https://github.com/pytorch/pytorch,Python,99411,2016-08-13T05:26:41Z,0,1,60.0,1.2583333333333333,21.76763888888889,320,0.0678,89,0.0,1,0.0,1,0.5,1,11.467,4.4371,28.54,0.0,7,0.3747,0.0,73600,38470509.7,2208000.0,36800,147200.0,402.7,156529.28,25044684.3,5082657.7,89.3
openai/whisper,https://github.com/openai/whisper,Python,98308,2022-09-16T20:02:54Z,8,1,60.0,17.69972222222222,0.0,79,0.4337,53,0.0,1,1.5,1,0.88,1,15.151,0.049,109.84,0.11,2,0.0,0.0,166,120890.5,4980.0,83,332.0,1398.3,368.74,58998.8,12385.3,72.5
fastapi/fastapi,https://github.com/fastapi/fastapi,Python,97609,2018-12-08T08:21:47Z,0,1,60.0,20.613055555555555,1.2225,456,0.5902,54,0.0,1,4.5,1,0.96,1,11.945,-5.8706,8.17,0.0,202,0.0005,0.0,3480,1281433.6,104400.0,1740,6960.0,9399.6,4398.37,703739.8,147047.8,84.1
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,Python,92171,2023-09-24T13:19:31Z,0,1,60.1,6.850833333333333,15.521666666666668,63,0.494,43,0.0,1,1.0,1,0.86,0,10.217,0.6503,20.1,0.31,10,0.0003,0.0,583,4566513.4,17490.0,291,1166.0,431.6,16702.26,2672361.4,535184.8,73.8
github/spec-kit,https://github.com/github/spec-kit,Python,90646,2025-08-21T22:54:31Z,0,1,60.07,3.0619444444444444,15.636805555555556,168,0.4408,29,0.0,1,2.0,1,0.86,1,7.742,4.1434,1.71,0.0,46,0.0838,0.0,819,224109.7,24570.0,409,1638.0,514.4,705.01,112801.5,23533.6,82.9
browser-use/browser-use,https://github.com/browser-use/browser-use,Python,89932,2024-10-31T16:00:56Z,3,1,60.01,9.920555555555556,81.41486111111111,306,0.3421,38,0.0,1,1.0,1,0.26,1,9.051,-6.7483,6.13,0.19,136,0.0197,0.0,9115,909633.8,273450.0,4557,18230.0,3035.7,3069.17,491067.5,108239.2,86.3
django/django,https://github.com/django/django,Python,87325,2012-04-28T02:47:18Z,0,1,60.0,5.646805555555556,0.0,394,0.1185,14,0.0,1,1.0,1,0.56,1,16.171,-0.2937,0.0,0.26,7,0.0283,0.0,29729,8161075.2,891870.0,14864,59458.0,2224.8,30728.83,4916612.4,1013718.9,88.8
3b1b/manim,https://github.com/3b1b/manim,Python,86261,2015-03-22T18:50:58Z,6,1,60.01,7.871388888888889,24.687916666666663,172,0.7834,49,0.0,1,1.0,1,0.0,0,10.583,-0.5315,244.97,0.03,7,0.0364,0.0,6181,2241828.6,185430.0,3090,12362.0,1353.9,9495.66,1519305.1,310448.2,76.7
home-assistant/core,https://github.com/home-assistant/core,Python,86173,2013-09-17T07:29:48Z,0,1,60.0,6.818888888888889,2.3516666666666666,423,0.0938,74,0.0,1,2.0,1,0.54,1,13.555,-2.5769,2.7,0.0,25,0.0001,0.0,94305,23922688.0,2829150.0,47152,188610.0,2884.4,95052.1,15208336.0,3136837.5,89.1
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,Python,82151,2019-10-03T17:31:21Z,118,1,60.0,4.716666666666667,203.88333333333333,205,0.1626,69,0.0,1,1.0,1,0.4359,1,8.619,0.0,0.0,0.3,0,0.3388,0.0,406,234261.9,12180.0,203,812.0,966.9,738.58,118172.9,24330.7,69.6
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,Python,81858,2018-12-24T14:30:48Z,0,1,60.02,8.946111111111112,14.591527777777776,270,0.3121,70,0.0,1,1.0,1,0.52,1,10.237,0.2448,0.0,0.32,37,0.0279,0.0,2781,539179.9,83430.0,1390,5562.0,2415.5,1772.28,283564.3,60218.5,86.9
infiniflow/ragflow,https://github.com/infiniflow/ragflow,Python,78935,2023-12-12T06:13:13Z,0,1,60.0,0.26,1.8411111111111111,462,0.2011,9,0.0,1,1.0,1,0.46,1,10.323,2.2972,15.95,0.0,162,0.542,0.0,5778,3474549.0,173340.0,2889,11556.0,120.1,12535.87,2005739.8,406962.0,88.0
vllm-project/vllm,https://github.com/vllm-project/vllm,Python,78029,2023-02-09T11:23:20Z,0,1,60.0,20.434444444444445,0.915,459,0.0675,74,0.0,1,3.0,1,0.46,1,8.916,-3.1853,10.82,0.0,95,0.1179,0.0,13198,5817695.1,395940.0,6599,26396.0,9379.4,21537.72,3446035.3,705218.9,89.3
tensorflow/models,https://github.com/tensorflow/models,Python,77666,2016-02-05T01:15:20Z,1,1,60.01,47.61541666666667,427.4619444444445,357,0.1986,66,0.0,1,1.0,1,0.78,0,11.454,-0.1119,60.52,0.04,0,0.147,0.0,8303,19312054.9,249090.0,4151,16606.0,16998.7,75915.62,12146499.5,2442702.5,82.9
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,Python,77163,2016-10-18T07:29:07Z,2,1,60.0,2.683333333333333,0.0,292,0.6311,91,0.0,1,1.0,1,0.78,0,10.674,0.007,358.2,0.35,0,0.2377,0.0,2044,681194.1,61320.0,1022,4088.0,783.5,2265.4,362464.6,74772.0,78.5
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Python,76467,2020-05-08T10:38:16Z,1,1,60.01,1.1958333333333333,95.0425,275,0.1851,43,0.0,1,1.0,1,0.76,1,9.285,-0.3252,93.7,0.03,4,0.2687,0.0,6759,55174875.4,202770.0,3379,13518.0,328.9,228580.76,36572921.5,7321442.0,88.1
python/cpython,https://github.com/python/cpython,Python,72441,2017-02-10T19:23:51Z,0,1,60.0,13.380416666666669,11.157083333333333,353,0.0954,76,0.0,1,3.5,1,0.82,0,14.775,1.8042,0.0,0.13,0,0.3825,0.0,118147,23889159.3,3544410.0,59073,236294.0,4723.3,94912.22,15185955.9,3156755.2,84.0
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,Python,72282,2014-07-15T19:11:19Z,3,1,60.0,1.6169444444444443,396.13388888888886,442,0.5221,73,0.0,1,0.0,1,0.0,0,15.019,-0.0385,0.0,0.27,0,0.0,0.0,1812,80632.7,54360.0,906,3624.0,714.7,241.02,38562.7,9739.0,79.5
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,Python,72011,2024-03-13T03:33:31Z,0,1,60.0,6.446805555555556,89.13333333333333,461,0.1098,52,0.0,1,1.0,1,0.78,1,8.439,2.3846,7.91,0.16,153,0.3485,0.0,5612,9392215.8,168360.0,2806,11224.0,2972.0,35613.75,5698200.0,1146143.6,88.9
pallets/flask,https://github.com/pallets/flask,Python,71447,2010-04-06T11:11:59Z,15,1,60.01,4.629583333333334,1.4694444444444446,398,0.3876,26,0.0,1,0.0,1,0.74,1,15.375,-0.3147,93.84,0.3,128,0.0011,0.0,4729,352811.9,141870.0,2364,9458.0,1842.6,1135.35,181656.8,41613.1,84.9
hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,Python,70567,2023-05-28T10:09:12Z,1,1,60.02,3.0275,25.16986111111111,253,0.7338,59,0.0,1,2.0,1,0.18,1,9.889,-0.2832,41.37,0.17,66,0.0034,0.0,2979,390348.8,89370.0,1489,5958.0,766.0,1515.02,242403.0,51689.4,82.6
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,Python,70522,2023-03-20T09:05:13Z,89,1,60.03,9.69097222222222,110.65472222222222,101,0.6339,60,0.0,1,1.0,1,0.94,1,5.432,0.0,28.68,0.42,15,0.1612,0.0,2103,2128632.7,63090.0,1051,4206.0,978.8,7494.06,1199049.2,242206.5,76.2
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,Python,70102,2025-11-30T11:36:31Z,21,1,60.46,17.089166666666667,104.06486111111111,30,0.3893,42,0.0,1,1.0,1,0.0,0,11.82,-0.1713,12.82,0.19,0,0.2154,0.0,131,115536.5,3930.0,65,262.0,512.7,351.61,56258.3,11536.5,66.3
ansible/ansible,https://github.com/ansible/ansible,Python,68408,2012-03-06T14:58:02Z,0,1,60.0,4.641388888888889,54.848055555555554,373,0.1204,69,0.0,1,1.0,0,0.0,1,16.305,0.3776,5.73,0.08,17,0.1337,0.0,42353,7735705.6,1270590.0,21176,84706.0,1731.2,29049.33,4647893.4,972451.0,78.8
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,Python,67390,2023-06-30T09:04:55Z,93,1,60.01,24.95555555555556,1075.9794444444444,116,0.1895,70,0.0,1,1.0,1,0.68,1,9.634,0.0,68.32,0.23,42,0.0251,0.0,4687,5384396.8,140610.0,2343,9374.0,2894.8,19856.61,3177057.9,640967.0,80.4
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,Python,66462,2020-12-20T10:46:38Z,1,1,60.01,10.29875,36.926944444444445,255,0.189,78,0.0,1,1.0,1,0.74,0,7.87,-0.0035,29.16,0.15,0,0.0,0.0,5477,70746931.2,164310.0,2738,10954.0,2626.2,296759.22,47481476.0,9502560.1,83.0
labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,Python,66377,2020-08-25T02:29:34Z,92,1,60.0,22.00875,1048.898888888889,39,0.9045,60,0.0,1,1.5,1,1.0,0,16.406,0.0,0.0,0.33,3,0.1037,0.0,848,4574939.4,25440.0,424,1696.0,858.3,20081.54,3213047.1,643714.9,66.0
xtekky/gpt4free,https://github.com/xtekky/gpt4free,Python,66078,2023-03-29T17:00:43Z,3,1,60.01,3.5277777777777777,243.355,259,0.5025,74,0.0,1,1.0,1,0.8,0,10.317,0.8182,3.26,0.53,4,0.0158,0.0,4179,5013825.8,125370.0,2089,8358.0,913.7,18424.21,2947874.1,594027.9,79.7
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,Python,65912,2010-08-17T09:43:38Z,0,1,60.0,93.50930555555556,9.590555555555556,409,0.1057,40,0.0,1,2.0,1,0.48,0,15.868,0.4266,40.33,0.04,288,0.0742,0.0,24317,5327111.3,729510.0,12158,48634.0,38245.3,19634.85,3141576.1,664105.8,83.9
localstack/localstack,https://github.com/localstack/localstack,Python,64878,2016-10-25T23:48:03Z,32,1,60.01,1.3127777777777778,654.5177777777778,424,0.214,77,0.0,1,1.0,1,0.98,1,11.567,-3.7762,16.84,0.02,218,0.0092,0.0,7391,1684070.4,221730.0,3695,14782.0,556.6,5859.89,937582.5,195074.5,85.2
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,Python,64545,2024-05-09T09:48:50Z,0,1,60.0,73.28666666666666,59.45472222222222,71,0.6694,41,0.0,1,1.5,1,1.0,1,10.527,-2.2832,22.11,0.44,13,0.0122,0.0,1458,4403492.6,43740.0,729,2916.0,5203.4,16076.75,2572280.7,517475.2,83.3
keras-team/keras,https://github.com/keras-team/keras,Python,64035,2015-03-28T00:35:42Z,0,1,60.01,5.480416666666667,98.43166666666669,407,0.3614,66,0.0,1,2.0,1,0.56,0,13.978,0.3217,23.4,0.03,11,0.0001,0.0,10825,1529592.7,324750.0,5412,21650.0,2230.5,5296.83,847492.4,180992.6,81.4
bytedance/deer-flow,https://github.com/bytedance/deer-flow,Python,63670,2025-05-07T02:50:19Z,0,1,60.03,14.679444444444444,8.381944444444445,232,0.3272,63,0.0,1,2.0,1,0.86,0,10.424,-8.0944,0.0,0.3,0,0.3003,0.0,1861,1011916.8,55830.0,930,3722.0,3405.6,3432.52,549203.5,112723.4,81.7
pathwaycom/pathway,https://github.com/pathwaycom/pathway,Python,63419,2022-11-27T13:01:14Z,0,1,60.0,73.45680555555555,410.2198611111111,37,0.3771,22,0.0,1,1.0,1,0.56,1,6.623,-0.2657,10.87,0.14,95,0.3381,0.0,1872,4157147.4,56160.0,936,3744.0,2717.9,15133.75,2421399.4,486967.2,86.2
openinterpreter/open-interpreter,https://github.com/openinterpreter/open-interpreter,Python,63298,2023-07-14T07:10:44Z,2,1,60.0,10.445,64.98805555555555,123,0.7433,51,0.0,1,2.0,1,0.64,1,6.897,0.0315,15.67,0.09,60,0.0154,0.0,3078,2941717.9,92340.0,1539,6156.0,1284.7,12630.59,2020894.1,407642.2,82.4
unslothai/unsloth,https://github.com/unslothai/unsloth,Python,62863,2023-11-29T16:50:09Z,0,1,60.0,0.7291666666666666,22.50777777777778,164,0.6148,15,0.0,1,2.0,1,0.98,1,7.722,-15.3427,15.28,0.02,1934,0.3538,0.0,5002,2166959.5,150060.0,2501,10004.0,119.6,7635.8,1221728.1,249383.5,83.9
Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,Python,62249,2020-04-11T09:21:31Z,40,1,60.0,38.09986111111111,770.6054166666667,36,0.3758,50,0.0,1,1.5,1,0.3793,0,9.461,0.0035,0.0,0.26,4,0.0465,0.0,322,72733.3,9660.0,161,644.0,1371.6,216.29,34606.0,7654.7,67.7
Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,Python,61605,2019-11-19T17:24:16Z,20,1,60.0,5.876666666666667,2018.0783333333331,80,0.6346,39,0.0,1,1.0,1,1.0,0,10.299,0.8322,0.0,0.43,0,0.0498,0.0,706,902348.8,21180.0,353,1412.0,470.1,3043.37,486938.8,98234.8,72.6
scrapy/scrapy,https://github.com/scrapy/scrapy,Python,61445,2010-02-22T02:01:14Z,0,1,60.01,7.36375,60.95916666666667,373,0.2119,52,0.0,1,1.0,1,0.48,1,16.146,0.4126,62.31,0.01,236,0.0053,0.0,10135,882951.3,304050.0,5067,20270.0,2746.7,2974.71,475953.8,106149.8,87.9
opendatalab/MinerU,https://github.com/opendatalab/MinerU,Python,61104,2024-02-29T08:52:34Z,0,1,60.0,0.5052777777777777,5.177638888888889,72,0.9094,24,0.0,1,1.0,1,0.96,1,10.807,5.8182,10.59,0.0,86,0.0072,0.0,4702,4490415.5,141060.0,2351,9404.0,36.4,19692.16,3150745.5,634862.0,80.9
commaai/openpilot,https://github.com/commaai/openpilot,Python,60722,2016-11-24T01:33:30Z,0,1,60.0,51.22625,43.11722222222223,426,0.2343,44,0.0,1,2.0,1,0.8,0,12.23,-5.7273,50.95,0.14,153,0.3904,0.0,16302,21847391.1,489060.0,8151,32604.0,21822.4,86413.34,13826134.8,2788075.7,82.7
