full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score,effort_hours_real,effort_hours_sampled,effort_coverage_ratio,effort_commits_sampled,effort_total_commits,effort_contributors_seen,effort_was_capped,effort_scaling_factor
exo-explore/exo,https://github.com/exo-explore/exo,Python,44035,2024-06-24T18:36:22Z,0,1,60.03,11.614444444444445,68.735,90,0.6041,57,0.0,1,1.0,1,0.12,1,7.417,-2.8776,10.01,0.05,105,0.3493,0.0,2195,1126429.3,65850.0,1097,4390.0,1045.3,3841.5,614639.3,125436.5,84.0,974.0,380.8,0.3645,800,2195,36,False,2.74
Aider-AI/aider,https://github.com/Aider-AI/aider,Python,43889,2023-05-09T18:57:49Z,1,1,60.0,18.217222222222222,4.7725,170,0.9648,37,0.0,1,0.0,1,0.6,1,5.794,-0.7238,9.23,0.1,240,0.1987,0.0,13108,4106064.5,393240.0,6554,26216.0,3096.9,17926.25,2868200.6,587677.2,80.3,3319.7,216.9,0.061,800,13108,44,False,16.39
zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,Python,43692,2022-08-07T08:33:41Z,1,1,60.0,4.806111111111111,60.214444444444446,89,0.4829,55,0.0,1,0.0,1,1.0,1,8.677,-0.007,47.52,0.29,7,0.1535,0.0,1754,203805.3,52620.0,877,3508.0,427.7,638.1,102095.7,22301.5,85.1,651.2,318.2,0.4561,800,1754,18,False,2.19
getsentry/sentry,https://github.com/getsentry/sentry,Python,43682,2010-08-30T22:06:41Z,0,1,60.0,19.693194444444444,0.0,344,0.1178,88,0.0,1,1.0,1,0.94,1,14.655,15.7308,11.62,0.01,255,0.4349,0.0,96646,25166643.2,2899380.0,48323,193292.0,6774.5,100248.48,16039756.9,3306629.7,88.8,41446.1,371.3,0.0083,800,96646,81,False,120.81
hiroi-sora/Umi-OCR,https://github.com/hiroi-sora/Umi-OCR,Python,43625,2022-03-28T04:01:46Z,156,1,60.05,21.509166666666665,459.3305555555556,14,0.9444,45,0.0,1,0.0,0,0.0,0,6.747,0.0,39.48,0.16,0,0.4923,0.0,1259,8232170.1,37770.0,629,2518.0,301.1,37211.96,5953913.5,1192132.0,48.1,394.0,267.1,0.6354,800,1259,12,False,1.57
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,Python,43259,2010-02-16T04:10:13Z,6,1,60.0,31.534444444444443,65.23583333333333,404,0.3823,79,0.0,1,2.0,1,0.66,1,15.482,0.1748,31.23,0.37,190,0.1941,0.0,10510,2015115.0,315300.0,5255,21020.0,12739.9,7074.99,1131999.0,240731.8,85.7,2675.1,219.9,0.0761,800,10510,75,False,13.14
faif/python-patterns,https://github.com/faif/python-patterns,Python,42711,2012-06-06T21:02:35Z,43,1,60.0,33.87555555555556,288.0627777777778,119,0.3528,77,0.0,1,1.0,1,0.5,1,13.385,-0.1014,0.0,0.36,55,0.0168,0.0,754,112464.5,22620.0,377,1508.0,4031.2,341.8,54688.7,12901.1,79.2,257.8,272.7,1.061,800,754,80,False,0.94
gradio-app/gradio,https://github.com/gradio-app/gradio,Python,42427,2018-12-19T08:24:04Z,2,1,60.0,24.54430555555556,12.712916666666668,463,0.2136,74,0.0,1,1.0,1,0.18,1,11.237,1.4301,0.0,0.0,13,0.5173,0.0,6166,10319901.3,184980.0,3083,12332.0,11364.0,39316.11,6290577.9,1267690.8,87.7,2507.0,350.4,0.1297,800,6166,72,False,7.71
ray-project/ray,https://github.com/ray-project/ray,Python,42294,2016-10-25T19:38:30Z,0,1,60.0,8.0025,82.0175,405,0.0476,87,0.0,1,4.0,1,0.68,0,11.175,0.3601,14.33,0.14,38,0.2363,0.0,28013,21376643.7,840390.0,14006,56026.0,3241.0,84459.35,13513496.0,2731684.5,84.5,12070.8,373.1,0.0286,800,28013,117,False,35.02
mingrammer/diagrams,https://github.com/mingrammer/diagrams,Python,42213,2020-02-02T15:23:24Z,12,1,60.0,31.93611111111111,837.4522222222222,170,0.4638,89,0.0,1,1.0,1,0.94,1,11.959,-0.0315,100.56,0.2,15,0.0452,0.0,608,2126292.1,18240.0,304,1216.0,5429.1,7485.41,1197664.8,241769.7,78.5,273.6,289.9,1.3158,800,608,158,False,0.76
