full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,Python,39869,2022-02-12T21:56:52Z,1,1,160.0,23.272777777777776,0.8665277777777778,387,0.4222,71,0.0,1,1.0,1,0.9,0,11.639,-0.993,12.64,0.06,190,0.4226,0.0,8470,423500,677600,4235,45173.3,9006.6,1375.33,220053.0,69299.2,80.7
vnpy/vnpy,https://github.com/vnpy/vnpy,Python,39797,2015-03-02T03:36:58Z,3,1,160.0,10.131666666666666,460.3743055555556,128,0.432,40,0.0,1,0.0,1,0.44,1,9.578,0.0,28.89,0.1,60,0.0052,0.0,6768,338400,541440,3384,36096.0,1296.9,1086.71,173873.4,53211.8,85.4
agno-agi/agno,https://github.com/agno-agi/agno,Python,39650,2022-05-04T15:23:02Z,1,1,160.0,25.83361111111111,16.22972222222222,416,0.4307,71,0.0,1,1.0,1,0.18,0,8.104,-2.0699,3.09,0.01,0,0.003,0.0,5414,270700,433120,2707,28874.7,10746.8,859.65,137544.7,45170.3,80.6
2noise/ChatTTS,https://github.com/2noise/ChatTTS,Python,39150,2024-05-27T18:26:49Z,15,1,160.44,62.32236111111112,1100.5319444444444,57,0.6621,34,0.0,1,1.0,1,0.8,1,7.67,0.0979,100.5,0.15,5,0.005,0.0,367,18350,29360,183,1957.3,3552.4,50.94,8149.8,3674.3,72.6
mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,Python,39045,2018-08-02T17:56:45Z,1,1,160.01,15.161666666666669,584.6911111111111,380,0.2012,78,0.0,1,1.0,1,0.66,1,10.54,0.2448,9.96,0.08,12,0.006,0.0,19563,978150,1565040,9781,104336.0,5761.4,3312.36,529976.9,159891.8,87.9
D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,Python,38617,2024-10-13T20:29:53Z,1,1,160.11,29.88458333333333,35.983888888888885,18,0.97,20,0.0,1,1.0,1,0.86,1,9.704,-1.0245,26.23,0.38,73,0.0013,0.0,1401,70050,112080,700,7472.0,537.9,249.5,39920.0,11881.4,78.7
microsoft/BitNet,https://github.com/microsoft/BitNet,Python,38542,2024-08-05T09:07:38Z,46,1,160.0,71.40333333333334,101.22194444444445,15,0.2317,21,0.0,1,1.0,1,0.907,0,6.363,-0.0874,0.0,0.0625,11,0.4981,0.0,82,4100,6560,41,437.3,1071.0,10.56,1689.5,877.9,61.3
gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,Python,38350,2018-01-25T04:16:53Z,1,1,160.06,0.0,432.87,12,0.9945,0,0.0,1,0.0,1,1.0,0,14.227,-0.3077,0.0,0.32,0,0.4926,0.0,2883,144150,230640,1441,15376.0,0.0,532.29,85166.3,24721.3,69.0
roboflow/supervision,https://github.com/roboflow/supervision,Python,38227,2022-11-28T14:08:44Z,1,1,160.04,13.029722222222222,228.18527777777777,140,0.3506,72,0.0,1,1.0,1,0.84,1,9.924,-2.1678,48.34,0.05,113,0.0,0.0,3819,190950,305520,1909,20368.0,1824.2,595.9,95344.8,29800.2,86.4
ManimCommunity/manim,https://github.com/ManimCommunity/manim,Python,37936,2020-05-19T02:37:13Z,4,1,160.0,5.180555555555555,7.428888888888889,408,0.3887,83,0.0,1,1.0,1,0.36,1,10.616,-0.7483,78.44,0.3,94,0.018,0.0,5750,287500,460000,2875,30666.7,2113.7,915.76,146521.4,45271.7,85.8
chatchat-space/Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,Python,37909,2023-03-31T12:12:45Z,166,1,160.0,3.2534722222222223,1082.1872222222223,155,0.4042,44,0.0,1,0.0,1,0.96,0,10.208,0.0,27.55,0.14,26,0.0116,0.0,2338,116900,187040,1169,12469.3,504.3,355.97,56955.6,17777.1,67.1
chatanywhere/GPT_API_free,https://github.com/chatanywhere/GPT_API_free,Python,37520,2023-04-23T12:42:08Z,12,1,160.0,1.116111111111111,1506.7416666666668,2,0.9929,1,0.0,1,0.0,0,0.0,0,3.728,0.021,0.0,0.28,0,0.0,0.0,140,7000,11200,70,746.7,2.2,22.22,3555.2,1085.0,37.7
openai/gym,https://github.com/openai/gym,Python,37173,2016-04-27T14:59:16Z,29,1,160.0,5.706666666666667,56.5025,364,0.1234,62,0.0,1,1.0,1,0.0,1,13.74,0.0105,208.45,0.16,6,0.0013,0.0,1686,84300,134880,843,8992.0,2077.2,252.54,40406.4,13200.4,86.3
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,Python,37135,2012-06-26T09:52:15Z,1,1,160.02,7.696944444444444,12.008333333333333,134,0.7996,50,0.0,1,0.0,1,0.66,0,14.839,-0.2028,30.6,0.16,0,0.0139,0.0,10505,525250,840400,5252,56026.7,1031.4,2069.08,331052.5,94533.3,76.9
satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,Python,36923,2017-08-28T20:22:19Z,102,1,160.0,11.93763888888889,632.2630555555555,73,0.6444,80,0.0,1,1.0,1,0.2222,0,10.667,0.0,0.0,0.28,6,0.0,0.0,658,32900,52640,329,3509.3,871.4,94.03,15044.8,5025.0,64.9
babysor/MockingBird,https://github.com/babysor/MockingBird,Python,36907,2021-08-07T03:53:39Z,53,1,160.0,25.321944444444444,64.31069444444445,37,0.6602,64,0.0,1,1.0,0,0.0,0,11.126,-0.0315,0.0,0.39,8,0.0044,0.0,206,10300,16480,103,1098.7,936.9,27.78,4444.4,1719.3,52.1
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Python,36697,2019-02-02T05:51:12Z,1,1,160.05,13.0325,34.74388888888889,165,0.8354,53,0.0,1,0.0,1,0.96,1,12.327,0.7028,29.33,0.02,1,0.1224,0.0,3049,152450,243920,1524,16261.3,2150.4,564.52,90322.6,26840.3,81.6
hankcs/HanLP,https://github.com/hankcs/HanLP,Python,36272,2014-10-09T06:36:16Z,161,1,160.0,8.301805555555555,16.590972222222224,37,0.9464,60,0.0,1,1.0,1,0.8182,1,12.595,0.0,127.19,0.39,0,0.2049,0.0,1790,89500,143200,895,9546.7,307.2,322.71,51632.9,15192.1,67.1
google/langextract,https://github.com/google/langextract,Python,35764,2025-07-08T20:46:06Z,4,1,160.0,0.5266666666666666,1164.824722222222,21,0.8446,55,0.0,1,0.0,1,0.8,1,9.938,0.4825,33.63,0.27,84,0.0037,0.0,148,7400,11840,74,789.3,11.1,23.56,3768.8,1151.7,68.4
Textualize/textual,https://github.com/Textualize/textual,Python,35573,2021-04-08T15:24:47Z,1,1,160.01,27.331666666666667,63.56458333333333,185,0.5376,69,0.0,1,1.0,1,0.44,1,14.855,0.2657,5.67,0.4,92,0.0122,0.0,12907,645350,1032560,6453,68837.3,5056.4,2140.41,342465.1,104428.6,84.5
jax-ml/jax,https://github.com/jax-ml/jax,Python,35477,2018-10-25T21:25:02Z,1,1,160.0,0.9069444444444444,15.254305555555556,397,0.1331,73,0.0,1,2.0,1,0.82,1,11.629,3.8776,13.17,0.06,86,0.1388,0.0,27620,1381000,2209600,13810,147306.7,360.1,4757.89,761262.8,226013.9,88.6
geekcomputers/Python,https://github.com/geekcomputers/Python,Python,34979,2011-11-30T09:04:08Z,33,1,160.0,109.1025,0.0,403,0.5342,84,0.0,1,1.0,1,0.58,0,11.861,-0.3951,0.0,0.18,18,0.0619,0.0,3944,197200,315520,1972,21034.7,43968.3,616.4,98624.2,43432.7,76.9
sickn33/antigravity-awesome-skills,https://github.com/sickn33/antigravity-awesome-skills,Python,34952,2026-01-14T17:48:09Z,1,1,160.14,4.979861111111111,9.811111111111112,186,0.391,76,0.0,1,1.0,1,0.78,0,3.801,-1.6818,0.68,0.17,107,0.177,0.0,1179,58950,94320,589,6288.0,926.3,173.47,27754.9,8972.9,81.0
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Python,34393,2019-09-05T21:30:20Z,18,1,160.0,0.0,179.51541666666668,212,0.5066,0,0.0,1,0.0,1,0.94,1,13.308,0.0315,43.57,0.1,0,0.0598,0.0,1368,68400,109440,684,7296.0,0.0,202.78,32444.4,10136.9,83.4
datalab-to/marker,https://github.com/datalab-to/marker,Python,34301,2023-10-30T20:14:08Z,1,1,160.0,1.813611111111111,80.72972222222222,26,0.5907,63,0.0,1,1.0,1,0.92,1,11.788,0.1818,23.27,0.08,41,0.0033,0.0,1290,64500,103200,645,6880.0,47.2,190.66,30504.9,9555.1,84.0
safishamsi/graphify,https://github.com/safishamsi/graphify,Python,34290,2026-04-03T15:49:07Z,2,1,160.78,3.691388888888889,4.970277777777778,6,0.9756,7,0.0,1,0.0,1,0.44,1,1.013,5.7028,0.66,0.2,45,0.0,0.0,205,10250,16400,102,1093.3,22.1,33.16,5306.1,1614.5,57.7
python-poetry/poetry,https://github.com/python-poetry/poetry,Python,34279,2018-02-28T15:23:47Z,3,1,160.05,64.78625,25.83361111111111,439,0.346,70,0.0,1,1.5,1,0.74,1,14.062,0.4406,39.3,0.52,112,0.1051,0.0,3457,172850,276560,1728,18437.3,28441.2,536.74,85878.4,34926.7,86.3
wshobson/agents,https://github.com/wshobson/agents,Python,34239,2025-07-24T23:28:14Z,7,1,160.47,19.715555555555557,165.67305555555555,51,0.7331,46,0.0,1,1.0,1,0.7,0,13.953,1.1503,0.0,0.09,0,0.2293,0.0,341,17050,27280,170,1818.7,1005.5,56.59,9053.6,3021.7,67.2
khoj-ai/khoj,https://github.com/khoj-ai/khoj,Python,34235,2021-08-16T01:48:44Z,30,1,160.0,1.5822222222222222,165.45472222222222,68,0.6764,87,0.0,1,0.0,1,0.24,1,10.31,-0.028,14.24,0.35,92,0.4915,0.0,5160,258000,412800,2580,27520.0,107.6,817.36,130777.2,39947.7,80.7
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,Python,34213,2024-10-02T11:57:54Z,1,1,160.02,12.68722222222222,90.38916666666668,241,0.6221,70,0.0,1,3.5,1,0.62,1,8.419,1.521,11.14,0.34,98,0.1886,0.0,6791,339550,543280,3395,36218.7,3057.6,1090.59,174493.9,53925.4,83.7
stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,Python,33989,2023-01-09T21:01:51Z,1,1,160.0,15.305972222222223,19.848333333333336,386,0.2663,52,0.0,1,1.0,1,0.88,1,11.405,0.1469,15.85,0.07,98,0.007,0.0,4236,211800,338880,2118,22592.0,5908.1,664.41,106304.9,34329.4,87.3
Pythagora-io/gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,Python,33775,2023-08-16T11:56:07Z,9,1,160.07,15.66375,209.1013888888889,50,0.5269,74,0.0,1,1.0,1,0.2,1,9.661,0.0,0.0,0.02,12,0.352,0.0,2213,110650,177040,1106,11802.7,783.2,336.02,53762.6,16888.8,84.0
explosion/spaCy,https://github.com/explosion/spaCy,Python,33505,2014-07-03T15:15:40Z,28,1,160.01,16.226805555555554,1169.5172222222222,387,0.3264,78,0.0,1,1.0,1,0.86,0,12.13,0.1713,49.06,0.15,16,0.4588,0.0,15391,769550,1231280,7695,82085.3,6279.8,2574.9,411983.6,125323.3,79.4
ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,Python,33442,2013-12-20T08:26:28Z,5,1,160.0,10.60388888888889,147.04680555555558,110,0.8151,67,0.0,1,0.0,1,0.94,1,13.655,0.0699,21.12,0.28,99,0.0231,0.0,2034,101700,162720,1017,10848.0,1166.4,369.05,59047.2,17583.4,81.4
huggingface/diffusers,https://github.com/huggingface/diffusers,Python,33440,2022-05-30T16:04:02Z,1,1,160.03,2.9444444444444446,49.01263888888889,457,0.1753,55,0.0,1,3.0,1,0.18,1,9.349,0.0594,27.86,0.06,16,0.0004,0.0,5751,287550,460080,2875,30672.0,1345.6,915.93,146548.1,45049.3,88.2
XX-net/XX-Net,https://github.com/XX-net/XX-Net,Python,33435,2015-01-15T09:35:51Z,64,1,160.0,9.11486111111111,25.865277777777777,67,0.649,74,0.0,1,1.0,1,0.25,0,11.3,0.0,81.55,0.39,0,0.0917,0.0,2402,120100,192160,1201,12810.7,610.7,366.21,58593.8,18307.3,73.2
PDFMathTranslate/PDFMathTranslate,https://github.com/PDFMathTranslate/PDFMathTranslate,Python,33289,2024-09-06T06:56:03Z,5,1,160.14,3.0620833333333337,16.04,54,0.3867,60,0.0,1,1.0,1,0.84,1,9.996,0.6434,14.9,0.52,38,0.0207,0.0,1125,56250,90000,562,6000.0,165.4,165.14,26421.6,8333.9,85.7
frappe/erpnext,https://github.com/frappe/erpnext,Python,33181,2011-06-08T08:20:56Z,1,1,160.0,18.23819444444445,2.327777777777778,275,0.1635,74,0.0,1,1.0,1,0.96,0,13.03,-8.0804,2.25,0.17,8,0.1883,0.0,54119,2705950,4329520,27059,288634.7,5015.5,9641.55,1542648.5,454351.7,83.3
PostHog/posthog,https://github.com/PostHog/posthog,Python,33062,2020-01-23T22:46:58Z,1,1,160.0,2.9338888888888888,0.0,389,0.0714,54,0.0,1,2.0,1,0.7,0,14.337,12.2552,0.98,0.17,159,0.4941,0.0,39444,1972200,3155520,19722,210368.0,1141.3,6916.87,1106699.5,326866.3,84.2
certbot/certbot,https://github.com/certbot/certbot,Python,33006,2014-11-12T02:52:20Z,1,1,160.0,62.805277777777775,118.26805555555556,383,0.2472,89,0.0,1,1.0,1,0.76,1,14.128,-0.6818,36.39,0.01,0,0.0551,0.0,9894,494700,791520,4947,52768.0,24054.4,1619.09,259054.0,85411.1,87.4
OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,Python,32860,2023-08-28T02:18:13Z,18,1,160.0,6.430138888888889,212.69361111111112,16,0.2692,66,0.0,1,1.0,1,0.8537,1,4.839,-1.507,113.82,0.21,6,0.3155,0.0,182,9100,14560,91,970.7,102.9,24.39,3902.3,1296.7,70.5
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,Python,32576,2016-10-16T14:48:28Z,1,1,160.01,3.6066666666666665,1.727777777777778,400,0.8961,53,0.0,1,0.0,1,0.86,0,13.958,4.8531,168.57,0.43,21,0.6123,0.0,17829,891450,1426320,8914,95088.0,1442.7,3605.74,576918.3,163360.5,76.0
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,Python,32541,2020-10-18T16:23:12Z,1,1,160.01,5.176666666666667,13.445,451,0.3262,73,0.0,1,0.0,1,0.88,1,11.776,-3.8287,38.95,0.19,123,0.329,0.0,13039,651950,1043120,6519,69541.3,2334.7,2163.4,346143.5,104699.8,86.7
0xAX/linux-insides,https://github.com/0xAX/linux-insides,Python,32512,2015-01-03T18:44:57Z,12,1,160.08,5.0625,21.641666666666666,288,0.5966,71,0.0,1,1.0,1,0.7,0,13.042,-0.8077,0.0,0.45,0,0.5001,0.0,1921,96050,153680,960,10245.3,1458.0,289.62,46339.7,14828.0,78.0
