full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score,project_age_days
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,140136,2010-10-31 14:35:07+00:00,63,1,256.03,25.635555555555555,19.63583333333333,387,0.3786,69,0.0,1,1.0,1,0.7568,1,13.927,0.0,34.55,0.07,0,0.0031,0.0,17900,895000,1432000,8950,95466.7,9921.0,3017.35,482775.7,147264.8,81.0,5593
langchain-ai/langchain,https://github.com/langchain-ai/langchain,Python,134778,2022-10-17 02:58:36+00:00,0,1,671.52,4.0801388888888885,4.225833333333333,467,0.1294,52,0.0,1,1.0,1,0.72,0,10.619,-0.5629,0.93,0.02,0,0.0071,0.0,10803,540150,864240,5401,57616.0,1905.4,1775.63,284100.1,86199.6,83.7,1287
open-webui/open-webui,https://github.com/open-webui/open-webui,Python,133858,2023-10-06 22:08:27+00:00,0,1,1322.49,0.6883333333333334,45.025,388,0.7491,25,0.0,1,1.0,1,0.64,1,9.198,-1.7098,9.04,0.15,104,0.6465,0.0,15407,770350,1232560,7703,82170.7,267.1,3093.25,494920.0,140149.5,82.5,932
microsoft/markitdown,https://github.com/microsoft/markitdown,Python,116410,2024-11-13 19:56:40+00:00,3,1,45.71,18.595277777777778,68.4686111111111,75,0.3367,65,0.0,1,2.0,1,0.02,0,11.07,-0.0035,31.43,0.12,0,0.0033,0.0,300,15000,24000,150,1600.0,1394.6,41.22,6595.2,2537.4,70.9,525
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Python,114571,2025-07-22 22:22:28+00:00,0,1,1571.41,13.282916666666669,2.537777777777778,376,0.6284,36,0.0,1,1.0,1,0.08,1,4.706,78.9266,1.58,0.0,15,0.1241,0.0,5441,272050,435280,2720,29018.7,4994.4,864.16,138265.0,43660.7,83.7,277
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,Python,109914,2023-01-17 03:15:56+00:00,0,1,337.81,9.063611111111111,23.20694444444445,291,0.6173,69,0.0,1,1.0,1,1.0,1,4.035,-2.1678,3.78,0.17,10,0.0051,0.0,5046,252300,403680,2523,26912.0,2637.5,798.41,127745.1,39796.3,83.8,1195
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,Python,107310,2024-04-29 05:30:25+00:00,5,1,106.15,27.05361111111111,34.874583333333334,77,0.5209,71,0.0,1,0.0,1,0.0,0,6.553,-1.5664,0.0,0.32,0,0.3133,0.0,958,47900,76640,479,5109.3,2083.1,139.5,22319.5,7643.5,78.7,722
pytorch/pytorch,https://github.com/pytorch/pytorch,Python,99411,2016-08-13 05:26:41+00:00,0,1,1661.87,1.2583333333333333,21.76763888888889,320,0.0678,89,0.0,1,0.0,1,0.5,1,11.467,4.4371,28.54,0.0,7,0.3747,0.0,73600,3680000,5888000,36800,392533.3,402.7,13315.32,2130450.4,622477.5,89.3,3543
openai/whisper,https://github.com/openai/whisper,Python,98308,2022-09-16 20:02:54+00:00,8,1,10.15,17.69972222222222,0.0,79,0.4337,53,0.0,1,1.5,1,0.88,1,15.151,0.049,109.84,0.11,2,0.0,0.0,166,8300,13280,83,885.3,1398.3,22.14,3542.9,1570.7,72.5,1309
fastapi/fastapi,https://github.com/fastapi/fastapi,Python,97609,2018-12-08 08:21:47+00:00,0,1,103.26,20.613055555555555,1.2225,456,0.5902,54,0.0,1,4.5,1,0.96,1,11.945,-5.8706,8.17,0.0,202,0.0005,0.0,3480,174000,278400,1740,18560.0,9399.6,540.49,86478.5,29395.6,84.1,2696
