stars,days_inactive,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,log_active_contributors,log_pr_count_merged,log_stars,log_dependency_count,log_code_churn_normalized,log_pr_merge_time_median_h,log_issues_resolution_time_h,process_maturity,effort_distribution,ci_failure_rate,pr_per_contributor,exp_weighted_churn,contributor_productivity,review_effort_proxy
109914,0,337.81,9.063611111111111,23.20694444444445,291,0.6173,69,1.0,1,1.0,1,4.035,-2.1678,3.78,0.17,10,0.0051,5.676753802268282,4.248495242049359,11.607462618794218,2.3978952727983707,5.825439478280919,2.3089260576287205,3.186639552511581,1.0,0.38270000000000004,0.0,0.2363013698630137,1363.0633500000001,1.1568835616438355,9.063611111111111
107310,5,106.15,27.05361111111111,34.874583333333334,77,0.5209,71,0.0,1,0.0,0,6.553,-1.5664,0.0,0.32,0,0.3133,4.356708826689592,4.276666119016055,11.583486439673765,0.0,4.674229721919586,3.3341173620466655,3.5800290596104793,0.5,0.47909999999999997,1.0,0.9102564102564102,695.60095,1.360897435897436,0.0
99411,0,1661.87,1.2583333333333333,21.76763888888889,320,0.0678,89,0.0,1,0.5,1,11.467,4.4371,28.54,0.0,7,0.3747,5.771441123130016,4.499809670330265,11.507028109704144,2.0794415416798357,7.416300304158987,0.8146270780976549,3.125340180754786,1.0,0.9322,0.5,0.2772585669781931,19056.66329,5.177165109034267,0.0
98308,8,10.15,17.69972222222222,0.0,79,0.4337,53,1.5,1,0.88,1,15.151,0.049,109.84,0.11,2,0.0,4.382026634673881,3.9889840465642745,11.495870858404038,1.0986122886681098,2.411439497906128,2.9285086693235938,0.0,1.0,0.5663,0.12,0.6625,153.78265,0.12687500000000002,26.54958333333333
97609,0,103.26,20.613055555555555,1.2225,456,0.5902,54,4.5,1,0.96,1,11.945,-5.8706,8.17,0.0,202,0.0005,6.124683390894205,4.007333185232471,11.48873522616901,5.313205979041787,4.64688777933996,3.0732975559678968,0.7986326884059225,1.0,0.40980000000000005,0.040000000000000036,0.11816192560175055,1233.4407,0.22595185995623635,92.75874999999999
92171,0,49.35,6.850833333333333,15.521666666666668,63,0.494,43,1.0,1,0.86,0,10.217,0.6503,20.1,0.31,10,0.0003,4.1588830833596715,3.784189633918261,11.431411675786682,2.3978952727983707,3.9189986191645714,2.060619683272576,2.804672650816751,0.5,0.506,0.14,0.671875,504.20895,0.77109375,6.850833333333333
90646,0,265.26,3.0619444444444444,15.636805555555556,168,0.4408,29,2.0,1,0.86,1,7.742,4.1434,1.71,0.0,46,0.0838,5.1298987149230735,3.4011973816621555,11.414728121316559,3.8501476017100584,5.584473275003771,1.4016617861676777,2.811617443138943,1.0,0.5591999999999999,0.14,0.17159763313609466,2053.64292,1.569585798816568,6.123888888888889
89932,3,1352.88,9.920555555555556,81.41486111111111,306,0.3421,38,1.0,1,0.26,1,9.051,-6.7483,6.13,0.19,136,0.0197,5.726847747587197,3.6635616461296463,11.406820227631592,4.919980925828125,7.210729823252212,2.3906468440735424,4.41176577394391,1.0,0.6578999999999999,0.74,0.1237785016286645,12244.91688,4.406775244299674,9.920555555555556
87325,0,465.33,5.646805555555556,0.0,394,0.1185,14,1.0,1,0.56,1,16.171,-0.2937,0.0,0.26,7,0.0283,5.978885764901122,2.70805020110221,11.377403521083842,2.0794415416798357,6.144893538008994,1.8941363716686614,0.0,1.0,0.8815,0.43999999999999995,0.035443037974683546,7524.85143,1.1780506329113924,5.646805555555556
86261,6,122.21,7.871388888888889,24.687916666666663,172,0.7834,49,1.0,1,0.0,0,10.583,-0.5315,244.97,0.03,7,0.0364,5.153291594497779,3.912023005428146,11.365144455650647,2.0794415416798357,4.813890216636577,2.18283136680201,3.246020712725063,0.5,0.21660000000000001,1.0,0.2832369942196532,1293.34843,0.7064161849710983,7.871388888888889
82151,118,14.25,4.716666666666667,203.88333333333333,205,0.1626,69,1.0,1,0.4359,1,8.619,0.0,0.0,0.3,0,0.3388,5.327876168789581,4.248495242049359,11.316326468878131,0.0,2.7245795030534206,1.7433858849438393,5.32244071144524,1.0,0.8374,0.5641,0.33495145631067963,122.82075,0.0691747572815534,4.716666666666667
81858,0,83.01,8.946111111111112,14.591527777777776,270,0.3121,70,1.0,1,0.52,1,10.237,0.2448,0.0,0.32,37,0.0279,5.602118820879701,4.2626798770413155,11.312753533993279,3.6375861597263857,4.4309358393767555,2.297181631667017,2.7467276755599754,1.0,0.6879,0.48,0.25830258302583026,849.7733700000001,0.306309963099631,8.946111111111112
78935,0,533.76,0.26,1.8411111111111111,462,0.2011,9,1.0,1,0.46,1,10.323,2.2972,15.95,0.0,162,0.542,6.137727054086234,2.302585092994046,11.276392676537002,5.093750200806762,6.281818048114922,0.23111172096338664,1.0441952119668758,1.0,0.7988999999999999,0.54,0.019438444924406047,5510.0044800000005,1.152829373650108,0.26
78029,0,900.89,20.434444444444445,0.915,459,0.0675,74,3.0,1,0.46,1,8.916,-3.1853,10.82,0.0,95,0.1179,6.131226489483141,4.31748811353631,11.264848647110806,4.564348191467836,6.804492561406457,3.0649991815635786,0.6497176226326093,1.0,0.9325,0.54,0.1608695652173913,8032.33524,1.9584565217391303,61.303333333333335
77666,1,177.98,47.61541666666667,427.4619444444445,357,0.1986,66,1.0,1,0.78,0,11.454,-0.1119,60.52,0.04,0,0.147,5.8805329864007,4.204692619390966,11.26018573571601,0.0,5.1872740677547124,3.883940695967804,6.060201922995749,0.5,0.8014,0.21999999999999997,0.18435754189944134,2038.58292,0.4971508379888268,47.61541666666667
77163,2,47.06,2.683333333333333,0.0,292,0.6311,91,1.0,1,0.78,0,10.674,0.007,358.2,0.35,0,0.2377,5.680172609017068,4.5217885770490405,11.25368830600778,0.0,3.872450230308323,1.303818139295652,0.0,0.5,0.3689,0.21999999999999997,0.310580204778157,502.31844,0.16061433447098977,2.683333333333333
